app,userName,score,content,at,thumbsUpCount
Traveloka,izam purba,1,tgl 5 april booking reddoorz syariah near terminal terpadu langsa sudah bayar. gara gara saya terlambat chek in saya cek in jam 3 pagi itupun resepsionis gak ada saya panggil.saya tunggu hampir 1jam gak muncul ...dana saya hangus.Padahal bayar kamar tgl 5 jam 2 siang berakhir tgl 6 jam 12 siang. Hak saya seharusnya kamar yg sudah saya bayar.,2025-04-06 06:07:24,0
Traveloka,An Is,4,"alhamdulillah sudah normal kembali aplikasinya, terimakasih 🫶",2025-04-06 04:02:42,0
Traveloka,Iqbal Haidar,5,mantap,2025-04-06 03:53:17,0
Traveloka,alimuse45,5,good,2025-04-06 01:31:33,0
Traveloka,Maulana ibc ff (Maulana New),5,mantul bannar,2025-04-06 01:12:44,0
Traveloka,SRI WULANDARI,1,"mesen tiket bus kurnia anugrah pustaka patas vip uda dari jauh jauh hari di traveloka tp dialihkan ke bus dangdut. pemesanan dari apk ini gk sinkron sama diloket kurnia akibat kelalaian pihak bus kurnianya, saya protes ke mereka karna emang kelalaian mereka tpi merekanya nyalahin aplikasi travelokanya wkwkwk kacau. saran ku gausah pesen dari traveloka lagi apalagi klo mau naik bus patas kurnia, nnti tipu kalian sama pihak kurnia.",2025-04-06 00:27:06,0
Traveloka,eva khotijah,5,Cepat & mudah,2025-04-06 00:26:24,0
Traveloka,Agung Priyambodo,5,usefull,2025-04-05 14:37:57,0
Traveloka,Windu Silalahi,5,mudah dan cepat pemakaian aplikasinya,2025-04-05 13:51:06,0
Traveloka,Andriant 86,5,Aplikasi yang sangat berguna dan memudahkan dlam pembelian tiket. Mantab👍👍,2025-04-05 12:40:50,0
Traveloka,muhamad zen,5,oke,2025-04-05 12:19:11,0
Traveloka,Hafy Dhoh,1,"sangat mengecewakan, mau pindah server aja ke agoda",2025-04-05 12:08:11,0
Traveloka,sutomo oktober,5,"bgus, cpat, terpercaya",2025-04-05 11:38:53,0
Traveloka,shamil kindy,5,mudah dipakai,2025-04-05 11:36:17,0
Traveloka,Risman Official,1,tolong perbaiki Aplikasinya sy barusan pesan tiket Hotel kok tiba2 diarahkan ke Tanggal yang lain harusnya ada menu konfirmasi untuk meyakinkan pelanggan Tanggal yang akan dipesan,2025-04-05 10:52:44,0
Traveloka,"Hafni ZA Siregar, SE",5,lumayan,2025-04-05 09:57:22,0
Traveloka,Eyang Sayang,2,dulu booking hotel harga tertera sudah all in sekarang ada harga dasar terus harga setelah pajak dan biaya lain sama kek aplikasi yg lain,2025-04-05 09:53:24,0
Traveloka,Realme C25y,5,okesip,2025-04-05 07:47:39,0
Traveloka,wahyu wibowo,5,"halo admin traveloka kalau dilihat ulasan lebih banyak customer yang kecewa, banyak customer yg mengalami berbagai kendala atau masalah tetapi tidak diberikan solusi yang memuaskan. maka dari itu tolong pelayanannya di perbaiki lagi, jujur, transparan & tanggung jawab, biar customer tidak banyak kecewa. oh ya 1 lagi saran aja jika promo tidak tersedia jangan dimunculkan terus & jangan banyak persyaratan bla..bla.. kalau bisa dibuat mudah ngapain dibikin susah. Terimakasih",2025-04-05 07:40:04,33
Traveloka,santo louis,1,"Hati2 jebakan betman. Sy pernah terburu2 booking hotel dan sdh input di awal tanggal yg benar, tiba2 ada headlight penawaran hotel yg menarik dan terbookinglah. Tp setelah terbooking sy coba check ulang e-ticket ternyata headlight yg ditawarkan bkn di tanggal yg sm sy isikan sblmnya. Akhirnya proses refund, tp ditolak!!!!",2025-04-05 07:39:33,8
Traveloka,Muhammad fikri Hidayat,5,harapan untuk traveloka agar banyak voucher untuk perjalanan selanjutnya,2025-04-05 07:37:40,0
Traveloka,14. Jessica Anastasya Kang,1,penipu,2025-04-05 06:59:24,0
Traveloka,Rifky Armandho official,4,saya mau daftar paylater tapi masukin kontak darurat tidak valid,2025-04-05 06:06:29,0
Traveloka,Wahyu Krisnomo,5,"mantab, superior",2025-04-05 05:53:05,0
Traveloka,illangsari abc,5,semoga selalu terpercaya dan jujur,2025-04-05 04:33:03,0
Traveloka,Teh Marni,5,ok,2025-04-05 01:51:19,0
Traveloka,Zulfadli Lutfi Kadir,4,bagus deh,2025-04-05 00:14:54,0
Traveloka,Muhammad Safi'i,5,bagus,2025-04-04 23:28:54,0
Traveloka,adityarifkihamijan,4,sangat membantu,2025-04-04 20:01:50,0
Traveloka,Bray Lee,5,"Beli tiket udh lebih dari 4 kali ,tapi paylaternya tetap ditolak ,😂",2025-04-04 18:41:47,0
Traveloka,Abdie Nugroho,5,"ok, mantap",2025-04-04 18:38:35,0
Traveloka,Sugiyarto gober,5,mantaaaf luaaar biasaaaa,2025-04-04 14:08:23,0
Traveloka,Dyon,5,mantap,2025-04-04 13:19:02,0
Traveloka,Ryan Dharmansyah,5,traveloka ngga bisa ngasih konfirmasi setelah pemesanan via email udh nunggu 2 jam LG parah,2025-04-04 11:28:13,0
Traveloka,afrizal gokil,1,makin parah aplikasi nya niat mau beli tiket berangkat aja gak bisa harus beli tiket pulang pergi 💩💩💩,2025-04-04 10:00:17,1
Traveloka,Redaksi Inigresik,1,maaf tolong aplikasi yg sdh gak aktif di blacklist banyak yg ketipu contoh diharvest syariah purwokerto,2025-04-04 09:50:29,0
Traveloka,EM HA,5,aplikasi yang memudahkan para traveler,2025-04-04 09:03:33,0
Traveloka,Ali Sidik,4,mantab,2025-04-04 04:09:41,0
Traveloka,Hamrudi Ja,5,Cuba dulu,2025-04-04 03:28:51,0
Traveloka,Albar Rozaq,5,OK,2025-04-04 03:03:07,0
Traveloka,Bambang Sutejo,1,tidak ada pertanggungjawaban kalau pakai asuransi pesawat di aplikasi ini,2025-04-04 02:55:03,0
Traveloka,Akbar Tanjung,1,"apk Traveloka ini bagaimana sih sebenarnya di rute penerbangan yh ada tapi waktunya tgl penerbangan yh sudah sampai tiba"" rute yh hilang tolong Traveloka di perjelas yh rute yh kalao memang TDK ada TDK usah di tempel di rute yh",2025-04-04 02:50:19,1
Traveloka,nina saptika,1,"tidak ada screening untuk tempat tempat yg disewakan,dapet apartemen mati dan terbengkalai saat gambar gambar yg ditampilkan Traveloka bagus/normal tapi asli nya gedung mati.",2025-04-04 01:46:42,5
Traveloka,Amaliris Tomy,5,👍,2025-04-04 01:23:28,0
Traveloka,Khairina Rambe,5,ok,2025-04-04 00:48:14,0
Traveloka,KINKIN ABDULHAKIM (KINKIN ABDULHAKIM),1,"udah seneng ada promo di google pas download traveloka hotel yang di cari tidak tersedia, lebih baik datang langsung atau aplikasi lain",2025-04-03 23:16:54,1
Traveloka,Raj Tom,1,"Aplikasi yang ada fitur paylaternya, dan banyak penawaran yang hanya dikhususkan buat akun yang pengajuan paylaternya disetujui. aplikasi ini saya hapus dikarenakan banyaknya penawaran paylater yang tidak bisa saya dapat.",2025-04-03 19:40:09,1
Traveloka,Zhayushaf Zhibrahka,5,Good,2025-04-03 18:29:44,0
Traveloka,Willy Style,5,mantap sekali,2025-04-03 16:40:31,0
Traveloka,zianafisa qodriya,1,"maaf saya uninstal,masak mau cari bus yg muncul itu2 aja bus nya,gak ada pilihan lain yg muncul cuma 1 PO bus yg sama,padahal kalo dari boyolali ke jkrt kan bnyak bus nya knp muncul nya cuma 1 po bus",2025-04-03 16:19:15,1
Traveloka,Gedang Rojo,1,harganya MAHAL di aplikasi ini.,2025-04-03 16:04:52,0
Traveloka,Tri nur toyib,5,sangat membantu saat melakukan perjalanan👍👍👍👍👍,2025-04-03 14:16:10,0
Traveloka,Mathius Bungan,1,Mahal2 anjeng. dri Tarakan Ke Jakarta udh gitu biasa hari minggu ga ada,2025-04-03 12:28:38,0
Traveloka,Sugeng Agung,5,okee,2025-04-03 11:13:19,0
Traveloka,Pengguna Google,5,Muak sama yg punya.,2025-04-03 09:18:26,0
Traveloka,Cindy Oviana,3,udah beli tiket online ditraveloka malah kena tipu pihak travelnya,2025-04-03 08:57:47,1
Traveloka,Deby Periodontist,1,refund karena perubahan jadwal dr maskapai. tetap kena potong sampai 50% an... bener2 merugikan konsumen. padahal di aplikasi lain bs 100% refund,2025-04-03 08:38:46,1
Traveloka,Agung Abex,5,recommended,2025-04-03 08:22:41,0
Traveloka,Ralfi Wardhana,1,BALIKIN UANG GUA PENERBANGAN SINGAPURA BATAL KRN KESALAHAN CS !!!!!!!! CS NYA BNR HRS DI TRAINING LG BIAR AMBIL KEPUTUSAN NYA MATENG !!!!!,2025-04-03 08:18:23,0
Traveloka,Hariyono Setyawan,4,mantap.klo bisa tiket kapal laut,2025-04-03 06:51:57,0
Traveloka,veramaya Sari,5,terimakasih Traveloka telah memberikan pelayanan yang sangat memuaskan,2025-04-03 05:10:35,0
Traveloka,Astriawan Saputri,5,Bagus,2025-04-03 04:15:40,0
Traveloka,Reza Alfariz,1,"Limit paylater traveloka hanya sekedar gimic / pajangan. Pemvayaran cicilan paylater tidak pernah telat, namun penggunaan paylater berikutnya tidak bisa digunakan lagi. Traveloka juga membatalkan pemesanan hotel saya secara mendadak dan juga membatalkan secara sepihak. Saya sudah komplain via email namun tidak diberikan jawaban akibat limit paylater saya tidak mencukupi hingga terbatalkan otomatis. Jawaban sangat tidak masuk akal sehat, limit paylater saya masih cukup besar namun hanya GIMIC.",2025-04-03 04:08:22,12
Traveloka,Ahmad Zulkarnain,5,baik untuk pemesanan semua lalangan,2025-04-03 03:57:40,0
Traveloka,Ricky Meriandika,1,aplikasinya merugikan konsumen ketika membeli kupon bxsea. 3 tiket jadi mubazir,2025-04-03 03:57:32,0
Traveloka,Arna Wirawan123,1,"SAYA LIHAT ULASAN PULUHAN RATUSAN BAHKAN RIBUAN ORANG TERTIPU KECEWA KARENA APLIKASI INI,,,MENGERIKAN CARA PENIPUANNYA,",2025-04-03 02:27:38,0
Traveloka,Hironimus Nitsae,1,sangat membantu,2025-04-03 01:13:50,0
Traveloka,Humaira Mira,5,bagus,2025-04-02 22:54:08,0
Traveloka,Muhammad nur Aziz,1,apk bikin rugi cs.,2025-04-02 22:28:19,0
Traveloka,Mualimin Alim,5,"sangat bagus,memudahkan layanan transportasi",2025-04-02 20:34:29,0
Traveloka,Muhammad Ghifary,5,sangat membantu,2025-04-02 15:15:35,0
Traveloka,Jojon Jon,5,oke,2025-04-02 14:52:54,0
Traveloka,Johannes Pradana,1,"jelek, saya datang ke tempat katanya sudah penuh, tapi di traveloka masih ada kamar. refund 3-5 hari.",2025-04-02 14:31:10,1
Traveloka,Yusran Husaini,5,terbaik,2025-04-02 13:37:46,0
Traveloka,Fika Ka,5,sangat memuaskan pelayanan sangat baik,2025-04-02 13:22:33,0
Traveloka,Muhammad Wahyu Rani,5,"cuma aplikasi ini yang saya mesan hotel bayar betulan ada , sedangkan di aplikasi sebelah a*g*da penipu , dah bayar kamar pas datang kamar udah ada yang pesan , dan uang kita gak bisa di refund.",2025-04-02 13:19:51,10
Traveloka,Dimas Budi p,5,Good choice for traveling ✅,2025-04-02 11:58:57,0
Traveloka,Muhammad Istikmal,1,tolong di perbaiki admin,2025-04-02 10:06:56,0
Traveloka,ARIF BINTORO,1,sekarang algoritmaya rerlalu ribet,2025-04-02 10:01:50,1
Traveloka,Rita Suhartini,1,"Saya merasa terganggu dengan telpon yang terus2an mendekati jatuh tempo padahal saya bayar gak pernah telat💔 kalo ada aplikasi lain, sy gak bakalan pake traveloka lagi💔",2025-04-02 09:07:47,0
Traveloka,Budi cenel kreaktif Kreaktif,5,mantap,2025-04-02 08:48:31,0
Traveloka,Smartboy Jkt,5,verry good,2025-04-02 08:19:33,0
Traveloka,ravly andryanto,5,cukup membantu,2025-04-02 08:11:35,0
Traveloka,Winsten Alif putra,5,bagus untuk liburan ke mana mana,2025-04-02 05:27:36,0
Traveloka,Caesar Siahaan,1,aplikasi gak jelas tiket di cancel mendadak transnusa harusnya berangkat hari senin tiba tiba jadi hari selasa kan tolol,2025-04-02 04:25:12,1
Traveloka,Cahya Mustopa,5,sangat baik,2025-04-02 03:42:16,0
Traveloka,Fadlan Ahmad,5,Bagus Bagus,2025-04-02 03:38:35,0
Traveloka,Niko Utomo,4,Tingkatkan Diskon,2025-04-02 02:59:18,0
Traveloka,Giwang Vamela,1,"kecewa bnget sama Traveloka, aku pesan tiket bus dari tanjung balai ke medan, tapi setelah aku datang ke titik lokasinya sama sekali tidak ada loket mau pun bus. hanya ada ruko ruko kain yang lagi tutup. ini sangat merugikan saya",2025-04-02 01:46:51,1
Traveloka,Lina Lina,5,"Traveloka nyaman,mohon tambah buat pesanan bus Medan tujuan Surabaya belum dibuka,thanks",2025-04-02 01:43:14,0
Traveloka,Gunawan Gun,1,"Saya turunin bintangnya. pembelian lewat tpaylater gagal mulu padahal notif untuk menggunakan tpaylater selalu muncul, limit tinggi dan pembayaran sehat. ngehubungin CS tetap tidak ada solusi.",2025-04-02 00:09:04,2
Traveloka,Susanti Novita,5,aplikasi recomended utk dipake respon adminny cepat dan kasih solusi bagt . tingkatkan terus ya,2025-04-02 00:03:58,0
Traveloka,Guntur Nugraha,3,"Tolong untuk Traveloka, sebaiknya jangan kerjasama lagi dengan OYO.. mereka selalu meminta uang tambahan dengan alasan harga terlalu murah. tolong di evaluasi lagi hal ini, ini sangat tidak nyaman bagi saya",2025-04-01 23:44:52,3
Traveloka,Buk Winarni,5,terimakasih...traveloka..sangat membantu ..sekali ....🙏🥰,2025-04-01 23:34:32,0
Traveloka,Abdul Haris,5,mantap,2025-04-01 17:30:51,0
Traveloka,ulum boy,5,bagus mantappp,2025-04-01 14:02:28,0
Traveloka,lus c,5,bingung cara pakai Tpaylater offline karena tampilan Traveloka saya berbeda dengan orang lain yang lain QR ada dipojok kanan atas saya gak ada,2025-04-01 13:58:14,0
Traveloka,Nisa Luthfaniah,4,playlater sangat membantu menerbangan sangat membantu dan hotel terima kasih,2025-04-01 13:38:30,0
Traveloka,Anas Ace,5,Bagus dan sangat membantu,2025-04-01 13:32:37,0
Traveloka,Nico Terserah,3,keep improving ❤️‍🩹😉,2025-04-01 11:42:08,0
Traveloka,Ial Aza,5,"mantap, saya kena hotel fiktif di wilayah yg saya tidak kenal. di bantu traveloka buat refund 100% dana kembali.",2025-04-01 08:36:05,0
Traveloka,Bang Nhoy,1,notifikasinya sering bngt sangat mengganggu. auto apus,2025-04-01 06:43:27,0
Traveloka,Nanik Putri,2,"padahal aq tidak pernah mengunakan tpaylater saat mau aq pakai tpaylater tiba"" terblokir permanen",2025-04-01 05:55:29,0
Traveloka,Aminudin Aminudin,5,"pelayanan mu mantap kawan, lanjutkan",2025-04-01 05:25:40,0
Traveloka,Jekson Pardosi,5,sangat mudah embsntu,2025-04-01 04:54:11,0
Traveloka,G,1,"sekarang harganya nipu, kembalikan kaya dulu udah harga all in dari awal, bukan pas di pencet pajak dll blm termasuk, gajelas iniah makin jelek bukannya makin mudah",2025-04-01 03:36:54,0
Traveloka,janrida nahak,1,tolong perbaiki sistemnya!!!!! aplikasi yang buat jengkel!!!!!!!!!! beberapakali pesan tiket dan di kerjain habis²an sama aplikasi ini!!!!! pembayarannya tepat waktu tapi pelayanannya jelek skali!!!!,2025-04-01 02:26:21,8
Traveloka,Muhammad Labib Alfathin,1,"tadi saya melakukan pembayaran ke traveloka lewat pembayaran transfer bank udah dikirim uangnya juga sudah dikirim bukti pembayarannya, tapi gak terverifikasi sama pihak sananya mana udah dikirim uangnya, ini masalahnya sampe nomor pemesanannya udah gak aktif ga terverifikasi sama pihak sananya, gimana nih tadi mau ngobrol sama cs nya juga udah gabisa karena nomor pemasanannya udah ga aktif, kasus ini",2025-04-01 01:26:08,5
Traveloka,AINUL YAKIN,5,Usefull. 👍,2025-04-01 01:05:17,0
Traveloka,Palito Siregar,5,baik sekali,2025-03-31 23:06:32,0
Traveloka,Ardian Tan,2,cara refund tiket luar negeri gimana yaaa,2025-03-31 16:48:35,0
Traveloka,Rudi Fanani,1,saya sangat kecewa.sangat tidak baik jika menangani tentang refund..waktu yg d berikan sangat terlalu lama..,2025-03-31 16:12:28,2
Traveloka,Ghiovani VanHouten,5,"saya sangat kecewa sama Tpayleter Traveloka,masa saya mau pakai limit untuk pembayaran hotel di bilang limit saya di berkurang untuk pembayaran,coba pakai metode lain seperti mesin ATM,m-beking kan aneh,percuma saya punya limit tapi tidak bisa dapat digunakan memang aneh sekali,coba tinjaukan selanjut seperti apa,di bilang kendalan ,saya tanya kendalannya apa tapi tidak mau kasih jelaskan kan aneh,memang parah nih Traveloka nya mending Tidak usah kasih saya limit",2025-03-31 15:46:55,39
Traveloka,gunawan Sajah,1,"turun jadi bintang satu, karena kecewa ketika disetujui pengajuan paylater, namun setelah nya ada limit Saldo ketika mau digunakan ketika posisi keuangan lagi terdesak... eh malah tidak bisa digunakan, malah disuruh melakukan pembayaran opsi lain... buat apa Ada Saldo limit paylater bila tidak bisa digunakan sebagai pembayaran. Payah Ahhhh..",2025-03-31 14:45:54,5
Traveloka,Alec Prasetya,5,Paling membantu untuk berpergian,2025-03-31 14:11:45,0
Traveloka,Adhi Adhi,4,Lancar,2025-03-31 13:22:00,0
Traveloka,Ciplux HD,1,"SAYA KECEWA PAKE APLIKASI INI, SAYA PESAN TIKET KERETA HARUSNYA BERANGKAT JAM 23.05 NAMUN KETIKA SAYA CEKOUT MALAH TERBIT TIKETNYA JAM 07.30, SAYA SUDAH HUBUNGI CUSTOMER SERVICE BY EMAIL, NAMUN SLOW RESPONSE DAN TIDAK ADA SOLUSI, PADAHAL SAYA BUTUH TIKET KERETA ITU UNTUK DI HARI RAYA LEBARAN INI, SAYA SANGAT KECEWA DENGAN PELAYANAN TRAVELOKA.",2025-03-31 13:17:24,0
Traveloka,Eris Susandhi,5,bagus,2025-03-31 10:04:30,0
Traveloka,rachmad amirudin,4,vouchernya kurang dr sebelah,2025-03-31 09:58:10,0
Traveloka,Juliansyah Rachman,5,Mantaappppss,2025-03-31 09:00:46,0
Traveloka,Imam hanafi Tarigan,5,mantap bisa paylatter,2025-03-31 05:56:49,0
Traveloka,Yonatan Benyardi,1,maskapai dan penyedia layanan ini adalah penipuan,2025-03-31 05:07:51,0
Traveloka,Sri Soemiati,5,ok banget,2025-03-31 01:56:00,0
Traveloka,eri riyan,5,dont worry no rugi,2025-03-31 00:26:10,0
Traveloka,Rendy Harta,5,Aku sih yes,2025-03-30 18:55:15,0
Traveloka,Anggii Azharii,1,"tiba² kendala sistem 1 minggu, ga bisa login lagi. udah install ulang berkali kali smpe ganti device. gila ya ini???",2025-03-30 17:27:06,1
Traveloka,Darius Batu,5,sangat bagus,2025-03-30 14:26:45,0
Traveloka,Nday Servasius,3,tingkatkan pelayanan,2025-03-30 14:24:33,0
Traveloka,Rizqon -,5,mantap....,2025-03-30 13:14:08,0
Traveloka,Sutrisno,5,pelayanan dan waktu proses sangat cepat dan tanggap...recomen bnget deh makasih traveloka,2025-03-30 12:42:52,1
Traveloka,10_AnggraeniKiranaDewi_ Xll-5,1,"homestay yang kamarnya sudah habis tetap ada di display. untuk pemindahan dana ke hotel yang lainpun dipersulit walaupun dalam komunikasi sangat sopan tetapi sangat sangat slow respon. mungkin saat anda beruntung apk ini membantu, tapi kalau lagi apes ya sabar sabar aja.",2025-03-30 07:35:46,9
Traveloka,budi wijaya,1,aplikasi tidak direkomendasi,2025-03-30 07:21:54,0
Traveloka,Salman Al-Farisi,5,Good Aplikasi.,2025-03-30 07:01:10,0
Traveloka,Bagus Arijanto,5,very helping thank you,2025-03-30 05:46:56,0
Traveloka,TriL21 - Louis Lengkey,5,bagusssss,2025-03-30 04:23:22,0
Traveloka,Fiona Cahyani,1,kalendernya eror bikin kesel,2025-03-30 03:41:26,0
Traveloka,Ardianto Adam,1,"Aplikasi bagus, namun terkadang tidak jujur, saat akan melakukan pembayaran sering kali akan muncul keterangan ""Harga telah berubah NAIK"" (ALWAYS) 👀. Pengalaman yang terakhir pesan tiket transit yg connecting, tp dirubah sepihak sehingga waktu tidak sesuai dengan alasan dari maskapai, setalah konfirmasi berkali2 disuruh mundur sehari dan saya menyetuju utk mundur sehari dari jadwal awal, tp bbrp hari kemudian jadwal tsb dirubah lagi secara sepihak sama spt sebelumnya. 🥵👹👺",2025-03-30 03:33:31,18
Traveloka,I putu Swantara,1,apk eror saya klik perjalanan 4 April 2025 keluar tiket nya 5 Mei 2025 coba hubungi cs ga bisa di bantu kalo apk yg eror mestinya bisa dong di bantu ga setiap hari apk selalu perfect kali ini aja saya pakai traveloka dah untuk yg lain hati hati aja,2025-03-30 03:01:41,2
Traveloka,Karim Abdoe,1,"kecewa penggunaan apk ini, gak bisa saling menguntungkan, mending pakai apk lain",2025-03-30 02:50:19,0
Traveloka,Chelsea Alexan_indo,5,pelayanan yg top banget,2025-03-30 00:14:51,0
Traveloka,Fahri Yain,2,tolong potong gaji yang ngide soksok an pake chatbot buat gantiin CS. bukan developernya ya mereka cuman karyawan. tp yg NGIDE.,2025-03-29 21:49:43,1
Traveloka,Masita Mahendra,2,tiketnya mahal mahal,2025-03-29 20:35:12,0
Traveloka,Sugi Yanto,1,tidak tertarik,2025-03-29 19:52:09,0
Traveloka,Firman 'Bee,5,"mantab pelayanannya, Terima Kasih",2025-03-29 17:14:21,0
Traveloka,Robert Patihin,1,"reschedule tanggal check-in sudah konfirmasi ke pihak hotel dan di izinkan menunggu estimasi sampai 1 jam tidak ada jawaban pemberitahuan ke pihak hotel dari traveloka menunggu, menunggu, menunggu SAMPAI KAPAN MENUNGGUNYA perbaiki layanan customer nya dengan lebih baik lagi",2025-03-29 17:10:01,1
Traveloka,Indah Kusmiyati,5,bagus,2025-03-29 17:05:21,0
Traveloka,ipan zamorano,5,"terimakasih, sangat memuaskan",2025-03-29 16:27:47,0
Traveloka,Fifi Andriani,5,mempermudah kalien dan gampang di gunakan,2025-03-29 16:07:23,0
Traveloka,Nur Sawal,2,sangat mennganggu layanan iklannya karna berulangkali,2025-03-29 14:43:16,0
Traveloka,Vincent,1,tidak profesional,2025-03-29 14:38:45,0
Traveloka,Tia Tia,1,tidak tertarik,2025-03-29 13:39:46,0
Traveloka,Zulkarnain 999,1,Hati2 bnyk hrga menjebak.. kalian hrs benar2 teliti dlm memilih tggl cek in. Rufund di persulit...semuanya di persulit.,2025-03-29 13:28:18,0
Traveloka,Michael Adrian,1,"harga hotel fantastis. tidak tetapnya harga kamar hotel tiap hari [beda bisa 100 sampe 200rban]. kupon diskon cepet habis. harga kamar berubah² > maaf, buat orang menyesal beli dan pesan kamar di jauh² hari. saya sudah pesan hotel dengan sarapan tapi pesanan berubah menjadi tanpa sarapan. aneh, saya sudah bayar lg lunas ucuk² berubah. Sudah, cukup. Next, lebih baik saya menggunakan metode lainnya. terima kasih atas bantuannya selama ini, traveloka.",2025-03-29 13:05:44,6
Traveloka,Hilda Susanti,5,semoga Traveloka melayani lebih baik dan amanah,2025-03-29 12:24:48,0
Traveloka,Hari Yanto,1,sangat kecewa karena saya mau pesan bus Mila/Akas jurusan Jember solo tidak ada pada hari Raya idul Fitri sedang sebelum hari raya ada.tolong Pada pihak traveloka untuk perbaikan sistem.sehingga banyak orang kecewa.,2025-03-29 12:02:28,0
Traveloka,Yoel Silalahi,2,Sebenarnya suka namun dana refund saya belum dikembalikan sampai sekarang padahal telah disetujui dan ditelpon namun blm ada hasil @traveloka,2025-03-29 11:56:26,1
Traveloka,Rokoy Doni,5,alhamdulillah,2025-03-29 10:47:34,0
Traveloka,Regi Juliana,5,ok,2025-03-29 09:42:38,0
Traveloka,Rohmi Yati,5,dengan Traveloka perjalanan menjadi mudah👍,2025-03-29 08:42:51,0
Traveloka,Ryan Andika Yusri,1,harga di aplikasi dah hotel tidak sesuai. dan tidak bisa refund.,2025-03-29 06:37:37,0
Traveloka,Johan efendi Johan efendi 11,1,bru mencoba aplikasi in...,2025-03-29 05:20:33,0
Traveloka,Alita Maheswari,5,mudah dan fast respon,2025-03-29 05:10:58,0
Traveloka,Emi Murniasyi,5,aplikasi yang sangat bermanfaat buat para traveler. good job,2025-03-29 03:58:58,1
